,Argentina,Australia,Bahrain,Bolivia,Brazil,Canada,Chile,China,Colombia,Congo,Cuba,Finland,France ,Gabon,Germany,Ghana ,India,Indonesia ,Iran,Japan,Kazakhstan,Madagascar,Malaysia,Mexico,New Caledonia,Norway ,Papua New Guinea,Peru,Philippines,Portugal,Russia,Saudi arabia,South Africa,South korea,Turkey,Ukraine,United Arab Emirates,United States,Zambia,Zimbabwe
Argentina,0,12704.80595,13804.12966,2460.297528,2924.249906,11259.05237,766.2990799,18898.99396,4905.061758,9325.98807,6826.747695,13673.36059,11464.89893,8669.401913,12279.92077,8257.244859,15926.67418,15648.38613,14403.85618,18070.03508,15942.51848,10388.30677,15941.45585,8004.614134,11658.37037,12782.25805,14284.15073,3443.622481,17126.07198,10329.62158,17335.14056,13206.27509,7685.36864,18969.30627,13230.44241,13401.64971,13938.47959,9017.693642,9230.465866,8940.932709
Australia,12704.80595,0,10592.45684,15025.29659,15578.63514,14151.63951,12734.13791,7474.364746,16238.33502,12002.78227,16775.25922,13405.50241,15159.13452,13163.66755,14466.24926,14859.63402,7813.466502,3457.439998,10630.04937,6852.325139,10515.29497,8831.35077,4746.108169,14353.65148,3285.426863,14342.12914,2370.079419,15074.97259,4437.480762,16150.8976,9983.615629,10993.0281,10389.48852,6832.373443,12441.39536,12983.39974,10164.34696,15184.50427,10932.17162,10496.58284
Bahrain,13804.12966,10592.45684,0,13167.96377,11923.75604,10617.83148,14465.753,5164.490456,13173.43503,4563.179272,12334.43291,4393.864428,4790.878157,5135.16514,4377.200849,5798.874083,2957.083831,7409.165865,769.6560761,8141.678647,2827.158511,5001.182078,5979.58041,13777.47758,13433.76177,4969.623209,10653.73326,13996.81683,7524.749431,5593.871037,5637.640617,603.0276386,6948.247349,7254.569965,2023.763759,2998.465318,443.5086273,12156.43517,5003.60518,5520.250133
Bolivia,2460.297528,15025.29659,13167.96377,0,1271.636811,8984.713171,2295.174766,17525.41838,2601.494692,9385.909957,4480.130608,11566.5406,9563.624289,8403.441933,10345.38678,7391.253559,16044.50115,18096.40589,13504.32527,16924.19438,14313.59106,11469.14937,17944.23004,6133.647519,13238.99688,10635.07663,16077.84977,1468.550518,19324.67552,8440.359598,14909.06046,12591.13434,8772.148115,17561.20339,11888.58236,11699.98213,13471.63369,6823.150078,9750.861413,9701.901574
Brazil,2924.249906,15578.63514,11923.75604,1271.636811,0,9304.54465,3084.197561,16632.87682,3234.218541,8140.019447,4875.151055,10771.19403,8625.306661,7137.682644,9431.660145,6132.497182,14775.32665,17730.58677,12299.66711,17370.45371,13311.237,10397.73957,16945.62021,6928.295788,14351.54966,9867.099047,17135.71271,2574.257414,19317.59259,7486.775156,14451.53219,11340.17654,7777.147198,17605.01551,10757.23985,10686.58042,12214.52432,7316.928875,8571.872193,8579.935158
Canada,11259.05237,14151.63951,10617.83148,8984.713171,9304.54465,0,10725.77323,9385.871407,6395.729513,12640.03287,4507.966456,6245.510129,6840.806384,11768.43381,6750.728033,10205.57242,11469.12829,12886.34109,9987.73785,8082.723318,8417.273692,15297.92023,12827.46703,3626.627902,11805.06721,5850.388844,11802.56245,7815.512751,11145.05533,6917.856899,6644.488213,10718.13264,15184.02216,8578.946335,8837.838832,7744.826565,10973.6126,2261.538693,13848.4762,14485.05258
Chile,766.2990799,12734.13791,14465.753,2295.174766,3084.197561,10725.77323,0,19630.09236,4484.37595,10043.2217,6393.873239,13818.12862,11709.18426,9337.209726,12513.97617,8804.760264,16691.83013,15921.04675,15021.8388,17342.6392,16364.36811,11149.90653,16453.7037,7357.693568,11312.73262,12896.01229,14053.22733,2965.982037,17150.40722,10570.8579,17132.37209,13863.69396,8451.183912,18276.08914,13711.25841,13753.45741,14629.89624,8466.860198,9985.791654,9705.12982
China,18898.99396,7474.364746,5164.490456,17525.41838,16632.87682,9385.871407,19630.09236,0,15516.47108,9592.199808,13630.96841,5961.153608,8022.00535,10292.93876,7223.897871,10836.26005,2983.799405,4198.13058,4612.318338,3046.76221,3325.161811,8556.584081,3526.810824,12826.36401,9028.171164,6891.105369,6260.735831,17048.27574,3102.750799,9157.713194,2854.619435,5766.631372,11237.06037,2118.366623,5949.881692,5947.098824,5000.886108,11647.27994,9668.53908,9963.540149
Colombia,4905.061758,16238.33502,13173.43503,2601.494692,3234.218541,6395.729513,4484.37595,15516.47108,0,10713.09665,1921.949294,10080.9425,8604.834873,9561.045067,9245.777366,8098.789288,15971.99324,19010.20221,13161.72696,14357.33644,13056.71044,13447.57287,18954.52906,3696.566753,13308.36429,9169.251264,15777.23013,1532.204134,17385.11399,7640.9049,12665.61483,12732.846,10957.91982,14961.17614,11349.83269,10754.33096,13591.00759,4222.315612,11436.2042,11585.8562
Congo,9325.98807,12002.78227,4563.179272,9385.909957,8140.019447,12640.03287,10043.2217,9592.199808,10713.09665,0,11158.2306,7342.632875,5912.08876,1183.36765,6232.13394,2856.945726,6810.583808,10241.22987,5271.153252,12634.0148,7259.538935,3181.561648,8958.83934,13667.28603,15197.04282,7265.840013,13495.54842,10677.10672,11191.81278,5722.919653,10062.08871,4002.616384,2951.614144,11710.44546,4978.135217,5899.919445,4628.815798,12695.77806,1212.569352,1848.960594
Cuba,6826.747695,16775.25922,12334.43291,4480.130608,4875.151055,4507.966456,6393.873239,13630.96841,1921.949294,11158.2306,0,8586.15521,7546.784773,9977.311194,8041.252314,8320.191404,14694.14066,17383.69214,12104.73905,12562.30853,11519.8964,14258.61526,17153.69333,2551.023841,13491.77563,7734.968477,15224.11811,3428.316001,15634.5957,6789.261122,10776.6683,12035.67159,12187.3639,13086.37414,10340.43109,9538.068253,12777.61704,2444.935454,12132.94902,12461.60626
Finland,13673.36059,13405.50241,4393.864428,11566.5406,10771.19403,6245.510129,13818.12862,5961.153608,10080.9425,7342.632875,8586.15521,0,2298.451519,7076.789095,1512.07478,6387.376192,6111.140443,9989.412899,3836.699564,7553.014081,2976.348822,9165.26676,8877.01166,9455.821311,14523.79409,936.7337055,12070.38759,11470.94004,9057.878296,3391.32562,3924.500046,4474.549771,10286.82939,7118.482038,2633.75818,1543.625767,4778.106015,7823.308736,8348.113043,9005.151997
France ,11464.89893,15159.13452,4790.878157,9563.624289,8625.306661,6840.806384,11709.18426,8022.00535,8604.834873,5912.08876,7546.784773,2298.451519,0,5309.981074,815.830097,4267.900039,7368.91136,11721.55017,4595.690496,9850.117498,4752.277477,8505.201552,10415.35662,9190.129363,16821.71587,1635.636606,14262.82347,9780.456058,11107.19177,1139.01226,6221.136133,4546.311443,8789.4928,9384.192273,2798.871283,2182.95346,5234.386695,7665.594666,7081.479492,7744.507413
Gabon,8669.401913,13163.66755,5135.16514,8403.441933,7137.682644,11768.43381,9337.209726,10292.93876,9561.045067,1183.36765,9977.311194,7076.789095,5309.981074,0,5779.774924,1705.368262,7692.216412,11375.04941,5755.87582,13268.83849,7591.675565,4332.321593,10054.73776,12494.9118,16298.41635,6818.933343,14667.30649,9622.791311,12211.93132,4905.573697,10282.69362,4536.922948,3518.04375,12389.71895,5036.750841,5784.802665,5298.103946,11590.71472,2253.750555,2785.577688
Germany,12279.92077,14466.24926,4377.200849,10345.38678,9431.660145,6750.728033,12513.97617,7223.897871,9245.777366,6232.13394,8041.252314,1512.07478,815.830097,5779.774924,0,4920.158516,6752.196888,11010.55238,4064.435361,9048.425694,3984.413358,8547.471101,9749.097347,9447.572895,16018.06978,1042.081646,13452.39611,10488.89915,10317.57741,1951.042986,5420.693349,4233.641191,9169.5819,8569.698987,2354.71252,1514.057888,4814.915678,7861.481084,7345.903445,8014.59656
Ghana ,8257.244859,14859.63402,5798.874083,7391.253559,6132.497182,10205.57242,8804.760264,10836.26005,8098.789288,2856.945726,8320.191404,6387.376192,4267.900039,1705.368262,4920.158516,0,8660.652498,12765.92097,6243.24551,13521.39071,7719.267507,6031.906248,11368.68125,10811.97161,17981.79155,5894.056153,16147.88515,8413.917499,13285.82569,3570.481984,10079.8247,5209.769153,4986.252299,12779.31989,4997.272507,5414.72333,6082.149853,9887.890006,3957.605057,4464.06288
India,15926.67418,7813.466502,2957.083831,16044.50115,14775.32665,11469.12829,16691.83013,2983.799405,15971.99324,6810.583808,14694.14066,6111.140443,7368.91136,7692.216412,6752.196888,8660.652498,0,4485.004691,2827.75737,5959.312404,3234.946282,5601.782581,3084.122533,15094.41795,10482.51779,6961.511238,7697.947354,16951.31461,4625.253844,8340.059956,4985.674064,3498.394735,8255.041818,5016.717923,4631.176991,5238.248479,2604.886915,13576.68806,6727.723847,6987.036875
Indonesia ,15648.38613,3457.439998,7409.165865,18096.40589,17730.58677,12886.34109,15921.04675,4198.13058,19010.20221,10241.22987,17383.69214,9989.412899,11721.55017,11375.04941,11010.55238,12765.92097,4485.004691,0,7304.727482,4821.629761,7062.938677,7568.454862,1439.001868,15335.25923,6035.188575,10923.59071,3387.959671,18528.2055,1749.412919,12768.04137,6967.459455,7902.611485,10057.12488,4325.16857,9087.106239,9539.191267,7017.697127,14961.82728,9562.277033,9428.797306
Iran,14403.85618,10630.04937,769.6560761,13504.32527,12299.66711,9987.73785,15021.8388,4612.318338,13161.72696,5271.153252,12104.73905,3836.699564,4595.690496,5755.87582,4064.435361,6243.24551,2827.75737,7304.727482,0,7515.527787,2059.497146,5738.700314,5911.873866,13290.22233,13239.5847,4511.143351,10408.55873,14160.43846,7199.501119,5520.853704,4875.776844,1269.53357,7715.889326,6656.746627,1812.910136,2586.186504,1001.304401,11657.91041,5763.532618,6287.808656
Japan,18070.03508,6852.325139,8141.678647,16924.19438,17370.45371,8082.723318,17342.6392,3046.76221,14357.33644,12634.0148,12562.30853,7553.014081,9850.117498,13268.83849,9048.425694,13521.39071,5959.312404,4821.629761,7515.527787,0,5812.720296,11345.61282,5137.46628,10798.14866,6971.661528,8335.286262,4765.291771,15511.10736,3072.298757,10933.96315,3628.98159,8735.586597,14086.85604,942.7528919,8527.719822,8172.360168,8019.563772,10150.45032,12686.25606,12924.78982
Kazakhstan,15942.51848,10515.29497,2827.158511,14313.59106,13311.237,8417.273692,16364.36811,3325.161811,13056.71044,7259.538935,11519.8964,2976.348822,4752.277477,7591.675565,3984.413358,7719.267507,3234.946282,7062.938677,2059.497146,5812.720296,0,7690.262536,5902.517278,11978.47546,12351.72044,3890.332851,9577.670122,14420.65545,6365.005577,5873.303867,2823.606433,3301.865806,9775.218309,5068.176467,2723.08861,2626.273826,2969.140497,10396.00106,7819.21429,8347.153858
Madagascar,10388.30677,8831.35077,5001.182078,11469.14937,10397.73957,15297.92023,11149.90653,8556.584081,13447.57287,3181.561648,14258.61526,9165.26676,8505.201552,4332.321593,8547.471101,6031.906248,5601.782581,7568.454862,5738.700314,11345.61282,7690.262536,0,6549.230664,16805.57392,12019.90256,9460.419874,10522.33257,12926.66692,8927.864082,8630.43785,10304.43279,4746.762176,2742.048326,10437.04843,6532.541704,7627.78843,4752.175375,15850.809,2126.106268,1863.056046
Malaysia,15941.45585,4746.108169,5979.58041,17944.23004,16945.62021,12827.46703,16453.7037,3526.810824,18954.52906,8958.83934,17153.69333,8877.01166,10415.35662,10054.73776,9749.097347,11368.68125,3084.122533,1439.001868,5911.873866,5137.46628,5902.517278,6549.230664,0,15934.10783,7472.871506,9792.05129,4805.195174,19369.41004,2378.650175,11417.50267,6379.105265,6465.545399,9202.862836,4404.754165,7712.527555,8248.444816,5582.936812,15070.5141,8404.579893,8367.665959
Mexico,8004.614134,14353.65148,13777.47758,6133.647519,6928.295788,3626.627902,7357.693568,12826.36401,3696.566753,13667.28603,2551.023841,9455.821311,9190.129363,12494.9118,9447.572895,10811.97161,15094.41795,15335.25923,13290.22233,10798.14866,11978.47546,16805.57392,15934.10783,0,11098.25619,8810.008126,12678.50406,4720.127564,13714.07146,8717.971273,10222.49174,13681.08376,14615.38075,11542.90227,11786.18657,10779.27677,14194.93867,1632.529251,14679.5946,15009.33353
New Caledonia,11658.37037,3285.426863,13433.76177,13238.99688,14351.54966,11805.06721,11312.73262,9028.171164,13308.36429,15197.04282,13491.77563,14523.79409,16821.71587,16298.41635,16018.06978,17981.79155,10482.51779,6035.188575,13239.5847,6971.661528,12351.72044,12019.90256,7472.871506,11098.25619,0,15265.43266,2841.471175,12596.38194,6086.96222,17876.43709,10600.62982,13937.76248,13040.80509,7467.619289,14902.26509,14958.91937,13051.16348,12133.28582,14048.02508,13521.456
Norway ,12782.25805,14342.12914,4969.623209,10635.07663,9867.099047,5850.388844,12896.01229,6891.105369,9169.251264,7265.840013,7734.968477,936.7337055,1635.636606,6818.933343,1042.081646,5894.056153,6961.511238,10923.59071,4511.143351,8335.286262,3890.332851,9460.419874,9792.05129,8810.008126,15265.43266,0,12945.83717,10541.78421,9982.870669,2612.796894,4730.102519,4940.850045,10208.03413,7966.171635,3026.413347,1972.353674,5385.008113,7186.812283,8364.502705,9032.745921
Papua New Guinea,14284.15073,2370.079419,10653.73326,16077.84977,17135.71271,11802.56245,14053.22733,6260.735831,15777.23013,13495.54842,15224.11811,12070.38759,14262.82347,14667.30649,13452.39611,16147.88515,7697.947354,3387.959671,10408.55873,4765.291771,9577.670122,10522.33257,4805.195174,12678.50406,2841.471175,12945.83717,0,15365.13688,3249.810786,15401.81573,8242.705832,11191.53303,12526.22651,4990.157787,12063.30416,12203.85044,10297.16394,13101.21402,12635.81517,12342.38323
Peru,3443.622481,15074.97259,13996.81683,1468.550518,2574.257414,7815.512751,2965.982037,17048.27574,1532.204134,10677.10672,3428.316001,11470.94004,9780.456058,9622.791311,10488.89915,8413.917499,16951.31461,18528.2055,14160.43846,15511.10736,14420.65545,12926.66692,19369.41004,4720.127564,12596.38194,10541.78421,15365.13688,0,18137.96796,8729.595606,14195.762,13471.15645,10239.56064,16255.2175,12396.20624,11962.82441,14364.92007,5580.343039,11146.04479,11137.53496
Philippines,17126.07198,4437.480762,7524.749431,19324.67552,19317.59259,11145.05533,17150.40722,3102.750799,17385.11399,11191.81278,15634.5957,9057.878296,11107.19177,12211.93132,10317.57741,13285.82569,4625.253844,1749.412919,7199.501119,3072.298757,6365.005577,8927.864082,2378.650175,13714.07146,6086.96222,9982.870669,3249.810786,18137.96796,0,12236.12158,5568.840351,8097.119791,11566.65768,2629.996589,8815.365696,8985.349617,7212.57171,13216.16905,10745.87478,10740.20594
Portugal,10329.62158,16150.8976,5593.871037,8440.359598,7486.775156,6917.856899,10570.8579,9157.713194,7640.9049,5722.919653,6789.261122,3391.32562,1139.01226,4905.573697,1951.042986,3570.481984,8340.059956,12768.04137,5520.853704,10933.96315,5873.303867,8630.43785,11417.50267,8717.971273,17876.43709,2612.796894,15401.81573,8729.595606,12236.12158,0,7310.716061,5250.236972,8419.602492,10504.37726,3709.852719,3269.871758,6031.028902,7317.505973,6933.476722,7567.325507
Russia,17335.14056,9983.615629,5637.640617,14909.06046,14451.53219,6644.488213,17132.37209,2854.619435,12665.61483,10062.08871,10776.6683,3924.500046,6221.136133,10282.69362,5420.693349,10079.8247,4985.674064,6967.459455,4875.776844,3628.98159,2823.606433,10304.43279,6379.105265,10222.49174,10600.62982,4730.102519,8242.705832,14195.762,5568.840351,7310.716061,0,6125.450211,12577.20769,3253.093746,5251.476651,4665.926045,5731.055297,8886.09707,10639.30931,11151.58158
Saudi arabia,13206.27509,10993.0281,603.0276386,12591.13434,11340.17654,10718.13264,13863.69396,5766.631372,12732.846,4002.616384,12035.67159,4474.549771,4546.311443,4536.922948,4233.641191,5209.769153,3498.394735,7902.611485,1269.53357,8735.586597,3301.865806,4746.762176,6465.545399,13681.08376,13937.76248,4940.850045,11191.53303,13471.15645,8097.119791,5250.236972,6125.450211,0,6498.063519,7853.23989,1915.891328,2985.62133,894.4385043,12089.24643,4522.377449,5073.262919
South Africa,7685.36864,10389.48852,6948.247349,8772.148115,7777.147198,15184.02216,8451.183912,11237.06037,10957.91982,2951.614144,12187.3639,10286.82939,8789.4928,3518.04375,9169.5819,4986.252299,8255.041818,10057.12488,7715.889326,14086.85604,9775.218309,2742.048326,9202.862836,14615.38075,13040.80509,10208.03413,12526.22651,10239.56064,11566.65768,8419.602492,12577.20769,6498.063519,0,13173.26223,7834.945433,8815.81557,6848.370713,14398.78875,2002.116866,1428.080869
South korea,18969.30627,6832.373443,7254.569965,17561.20339,17605.01551,8578.946335,18276.08914,2118.366623,14961.17614,11710.44546,13086.37414,7118.482038,9384.192273,12389.71895,8569.698987,12779.31989,5016.717923,4325.16857,6656.746627,942.7528919,5068.176467,10437.04843,4404.754165,11542.90227,7467.619289,7966.171635,4990.157787,16255.2175,2629.996589,10504.37726,3253.093746,7853.23989,13173.26223,0,7790.118092,7547.666736,7111.944896,10742.66402,11743.50319,11987.24505
Turkey,13230.44241,12441.39536,2023.763759,11888.58236,10757.23985,8837.838832,13711.25841,5949.881692,11349.83269,4978.135217,10340.43109,2633.75818,2798.871283,5036.750841,2354.71252,4997.272507,4631.176991,9087.106239,1812.910136,8527.719822,2723.08861,6532.541704,7712.527555,11786.18657,14902.26509,3026.413347,12063.30416,12396.20624,8815.365696,3709.852719,5251.476651,1915.891328,7834.945433,7790.118092,0,1096.72158,2463.613435,10181.66648,5843.683467,6478.110754
Ukraine,13401.64971,12983.39974,2998.465318,11699.98213,10686.58042,7744.826565,13753.45741,5947.098824,10754.33096,5899.919445,9538.068253,1543.625767,2182.95346,5784.802665,1514.057888,5414.72333,5238.248479,9539.191267,2586.186504,8172.360168,2626.273826,7627.78843,8248.444816,10779.27677,14958.91937,1972.353674,12203.85044,11962.82441,8985.349617,3269.871758,4665.926045,2985.62133,8815.81557,7547.666736,1096.72158,0,3418.082364,9158.482321,6847.828244,7496.646149
United Arab Emirates,13938.47959,10164.34696,443.5086273,13471.63369,12214.52432,10973.6126,14629.89624,5000.886108,13591.00759,4628.815798,12777.61704,4778.106015,5234.386695,5298.103946,4814.915678,6082.149853,2604.886915,7017.697127,1001.304401,8019.563772,2969.140497,4752.175375,5582.936812,14194.93867,13051.16348,5385.008113,10297.16394,14364.92007,7212.57171,6031.028902,5731.055297,894.4385043,6848.370713,7111.944896,2463.613435,3418.082364,0,12569.11452,4952.012437,5426.534868
United States,9017.693642,15184.50427,12156.43517,6823.150078,7316.928875,2261.538693,8466.860198,11647.27994,4222.315612,12695.77806,2444.935454,7823.308736,7665.594666,11590.71472,7861.481084,9887.890006,13576.68806,14961.82728,11657.91041,10150.45032,10396.00106,15850.809,15070.5141,1632.529251,12133.28582,7186.812283,13101.21402,5580.343039,13216.16905,7317.505973,8886.09707,12089.24643,14398.78875,10742.66402,10181.66648,9158.482321,12569.11452,0,13844.46432,14330.35749
Zambia,9230.465866,10932.17162,5003.60518,9750.861413,8571.872193,13848.4762,9985.791654,9668.53908,11436.2042,1212.569352,12132.94902,8348.113043,7081.479492,2253.750555,7345.903445,3957.605057,6727.723847,9562.277033,5763.532618,12686.25606,7819.21429,2126.106268,8404.579893,14679.5946,14048.02508,8364.502705,12635.81517,11146.04479,10745.87478,6933.476722,10639.30931,4522.377449,2002.116866,11743.50319,5843.683467,6847.828244,4952.012437,13844.46432,0,668.6931871
Zimbabwe,8940.932709,10496.58284,5520.250133,9701.901574,8579.935158,14485.05258,9705.12982,9963.540149,11585.8562,1848.960594,12461.60626,9005.151997,7744.507413,2785.577688,8014.59656,4464.06288,6987.036875,9428.797306,6287.808656,12924.78982,8347.153858,1863.056046,8367.665959,15009.33353,13521.456,9032.745921,12342.38323,11137.53496,10740.20594,7567.325507,11151.58158,5073.262919,1428.080869,11987.24505,6478.110754,7496.646149,5426.534868,14330.35749,668.6931871,0
