,Argentina,Australia,Brazil,Canada,Chile,China,Colombia,Congo,Finland,France,Germany,India,Indonesia,Iran,Japan,Kazakhstan,Malaysia,Mexico,Mozambique,Norway,Peru,Philippines,Portugal,Russia,Saudi arabia,South Africa,South korea,Turkey,Ukraine,United Arab Emirates,United States
Argentina,0.0,13071.624348826268,2981.3021583129976,11339.696072251716,691.1783407868081,19110.946452480843,4406.708761228184,9714.220235872663,13455.682456697736,11238.510346138024,12043.893087386627,16230.853575972136,15844.554456976477,14508.426496063516,17835.92798392059,15817.070203080464,16391.07195259658,7023.441697394049,9660.274748433076,12857.469824954405,3281.298673181739,17422.923368959277,10117.776458569735,16503.850678861803,13107.364243533722,8236.039055896617,18867.472373148994,13115.220712164393,13283.591349334103,14074.221613518059,9046.120020002556
Australia,13071.624348826268,0.0,16026.498918351057,13845.235324785412,13164.997468111753,7322.65976343805,16280.899452196325,11975.557580414976,13376.361670293547,15209.03653511567,14488.439757874829,7993.868821501465,3059.9973534647033,10610.226585102047,6806.898670013623,10528.627247636274,4785.801500724654,14473.744289802895,10073.418469991604,14033.854290713745,15254.449788964452,4352.004099060636,16190.477820420248,10419.393812158747,11389.439925152332,10452.59275576911,6837.9310517121985,12513.081665933862,13016.392120887185,10239.974319582287,14654.086230447941
Brazil,2981.3021583129976,16026.498918351057,0.0,9241.800695341657,3018.6416163651747,16499.92305967721,2705.770767915376,8538.678501211894,10485.250808744488,8341.542647918111,9138.359447126459,14744.241499641943,18287.151447739016,12287.255413303204,16843.00387725892,13067.59160678111,17254.3837991134,6017.505480043643,9446.279877832536,9876.80884501216,2434.300644217156,19508.638312597224,7228.701277023447,13563.844594601536,11058.131292580143,8322.492793628688,17088.90218290058,10565.901430873244,10478.624645728785,12216.610226995139,7382.936360365595
Canada,11339.696072251716,13845.235324785412,9241.800695341657,0.0,10812.696980809478,8944.219334950843,6969.510857041798,12408.829137302462,5682.748134836275,6522.216063511657,6415.520184780075,10738.930805440608,12455.675412687977,9497.369830725289,7604.430484893539,7892.212559500859,12272.595683072324,4675.635319909058,14539.812227580647,5192.610774014072,8058.759068637181,10693.064191492558,6727.659622405695,5891.431955398979,10030.773584623248,15035.501610445534,8064.06937966813,8419.447628107746,7218.669619337631,10437.064462311979,2423.6096509121558
Chile,691.1783407868081,13164.997468111753,3018.6416163651747,10812.696980809478,0.0,19518.26661766988,3972.31813291895,10326.848035703722,13461.225624968094,11360.144908564022,12156.685425533886,16884.848755343788,16092.654121956868,14980.548057228852,17170.423161313152,16067.555217259702,16921.463326727986,6395.677904418925,10344.670438678122,12818.20381126712,2782.8103558309076,17463.475653338424,10246.34687198189,16266.36364919216,13607.725231982735,8924.443148927287,18194.173943271857,13454.253506577084,13484.127814542207,14630.334568452436,8472.51531963119
China,19110.946452480843,7322.65976343805,16499.92305967721,8944.219334950843,19518.26661766988,0.0,15670.516647262644,9399.59163629909,6062.858353931162,8158.5757709092695,7361.705237952955,2917.357463304341,4362.107243299391,4626.480213241895,3084.018774537853,3459.4825409433283,3381.0958559136348,13466.191030363463,9527.34278514688,6711.195732159814,16889.005254890897,3043.9037693943405,9272.88368914085,3337.861212239698,6018.383508433671,10967.513979111105,2054.273363253239,6097.427798755419,6039.250119045203,5037.824916144629,11323.518191320525
Colombia,4406.708761228184,16280.899452196325,2705.770767915376,6969.510857041798,3972.31813291895,15670.516647262644,0.0,10788.663368914607,10041.853233858328,8519.353047800576,9191.483737160286,15762.761020649552,18823.253854872743,13155.230599834736,14408.19961967075,13025.757137448185,18912.95183664475,3314.513855232605,12038.37674558994,9329.43039466064,1236.0558513427893,17476.53461230141,7573.806550054774,12335.510140577295,12318.390466496143,11003.377560562152,15016.871073927325,11252.048189680361,10680.446796285198,13491.98626729558,4826.3416339251
Congo,9714.220235872663,11975.557580414976,8538.678501211894,12408.829137302462,10326.848035703722,9399.59163629909,10788.663368914607,0.0,7347.676648549973,5900.46062181168,6133.409445384219,6583.470379194582,10456.224270903544,5103.728003796619,12466.332460225109,7025.562362959217,8764.655453608395,13576.5953089238,2171.7604944500767,7561.483742153567,10957.462930625978,11057.283570582142,5740.900098559383,9545.860330808158,3743.235835751374,2861.955048612118,11448.007464424029,4781.6082557918035,5857.665882540324,4426.0380429728775,13100.147092630072
Finland,13455.682456697736,13376.361670293547,10485.250808744488,5682.748134836275,13461.225624968094,6062.858353931162,10041.853233858328,7347.676648549973,0.0,2380.098458830095,1629.3000515418526,5977.682819443233,10349.351874863582,3947.3923699272236,7481.040284003645,2996.108215205788,8871.42709150643,9682.110065874724,9184.783053457242,720.1635669986318,11232.974643713314,9087.087518061517,3454.2451380163216,3332.9265843034077,4351.7588082390375,10205.169136913943,6985.528442033843,2768.2815558671896,1566.0327844498584,4830.1070510917225,7639.451447455768
France,11238.510346138024,15209.03653511567,8341.542647918111,6522.216063511657,11360.144908564022,8158.5757709092695,8519.353047800576,5900.46062181168,2380.098458830095,0.0,806.139603562459,7245.67339386197,12172.18055459978,4683.545738755504,9858.414594350257,4755.995037141369,10432.023922225844,9269.185661316465,8017.881220910449,2085.34954632034,9573.578970994477,11195.353145260759,1120.7411815824003,5708.569092232444,4255.032193423307,8670.232492493116,9321.245072269488,2809.9504874796808,2199.8258019503305,5241.154171285727,7734.861746186841
Germany,12043.893087386627,14488.439757874829,9138.359447126459,6415.520184780075,12156.685425533886,7361.705237952955,9191.483737160286,6133.409445384219,1629.3000515418526,806.139603562459,0.0,6595.821632752973,11433.892262658102,4114.08905099497,9079.823084700893,3983.0661134888937,9742.576151338566,9633.841108824477,8163.805926869868,1494.7609639229033,10285.464582636372,10402.21618889822,1926.5211179107105,4932.23450529609,3918.109685123797,8973.7908878101,8521.287601513857,2339.038906100658,1489.469201190106,4778.362627097864,7909.231865079172
India,16230.853575972136,7993.868821501465,14744.241499641943,10738.930805440608,16884.848755343788,2917.357463304341,15762.761020649552,6583.470379194582,5977.682819443233,7245.67339386197,6595.821632752973,0.0,5070.1577239559565,2632.21785199292,5984.339616193922,3046.7725279298315,3214.5385202262682,15375.591989950737,6624.010834948018,6694.494542340185,16726.914250636164,4779.54070169349,8197.394076265213,4906.844661743658,3701.872919618812,8074.156288931303,4952.485951611656,4525.623896314908,5108.436320165856,2529.1663363127936,13125.122818514521
Indonesia,15844.554456976477,3059.9973534647033,18287.151447739016,12455.675412687977,16092.654121956868,4362.107243299391,18823.253854872743,10456.224270903544,10349.351874863582,12172.18055459978,11433.892262658102,5070.1577239559565,0.0,7699.396804077245,4857.635125479448,7468.689830816393,1904.8964408364325,15587.522402984721,9188.415728340924,11029.9269025066,18254.85311162195,1767.639099636096,13206.151168203212,7631.68334284143,8688.38351845612,10165.41098767298,4448.774422756424,9576.30559958242,9972.804940445809,7498.6415345980595,14358.629755732278
Iran,14508.426496063516,10610.226585102047,12287.255413303204,9497.369830725289,14980.548057228852,4626.480213241895,13155.230599834736,5103.728003796619,3947.3923699272236,4683.545738755504,4114.08905099497,2632.21785199292,7699.396804077245,0.0,7511.354333470691,1999.5410605753118,5844.044356055795,13602.094506860127,6117.789454046571,4595.931176781803,14096.982294612366,7222.421950848637,5581.688776391948,4608.1418631076995,1418.9402002133108,7485.937660113768,6552.755861522949,1903.3747359644706,2686.292409642243,959.936546029597,11583.50976169579
Japan,17835.92798392059,6806.898670013623,16843.00387725892,7604.430484893539,17170.423161313152,3084.018774537853,14408.19961967075,12466.332460225109,7481.040284003645,9858.414594350257,9079.823084700893,5984.339616193922,4857.635125479448,7511.354333470691,0.0,5881.13308963667,5176.45216454734,11301.103154293594,12520.811241663127,7903.826402571371,15230.049571406847,3112.6064611104916,10928.827209078749,4149.883300189401,8930.291072271257,13917.104037717341,1032.1585779857135,8612.529888836616,8139.52002873146,8059.117104093283,9584.571561290863
Kazakhstan,15817.070203080464,10528.627247636274,13067.59160678111,7892.212559500859,16067.555217259702,3459.4825409433283,13025.757137448185,7025.562362959217,2996.108215205788,4755.995037141369,3983.0661134888937,3046.7725279298315,7468.689830816393,1999.5410605753118,5881.13308963667,0.0,5887.4513464561205,12394.609913672452,8112.170634339325,3715.22114954122,14194.580111305291,6457.770968709299,5852.0976650729845,2609.086082283968,3282.50771240802,9485.341448366851,5037.9086244088185,2743.6099430332674,2589.058771484683,2902.574565838066,10187.598432382589
Malaysia,16391.07195259658,4785.801500724654,17254.3837991134,12272.595683072324,16921.463326727986,3381.0958559136348,18912.95183664475,8764.655453608395,8871.42709150643,10432.023922225844,9742.576151338566,3214.5385202262682,1904.8964408364325,5844.044356055795,5176.45216454734,5887.4513464561205,0.0,16476.63705377769,7828.473982348721,9584.443827115218,19630.082503389043,2425.20761078263,11409.180139716082,6680.898267800811,6785.617441190458,9025.083388080076,4399.8229637664335,7740.162360427495,8255.896896427479,5596.924257103434,14574.593303363456
Mexico,7023.441697394049,14473.744289802895,6017.505480043643,4675.635319909058,6395.677904418925,13466.191030363463,3314.513855232605,13576.5953089238,9682.110065874724,9269.185661316465,9633.841108824477,15375.591989950737,15587.522402984721,13602.094506860127,11301.103154293594,12394.609913672452,16476.63705377769,0.0,15220.632575074174,9011.216399706698,3929.0289745845707,14216.124877710243,8740.291921037984,10566.605820500676,13520.018528204493,14305.81830816789,12095.840355235834,11972.249375815629,10946.721767907693,14392.407808461616,2259.4641004335626
Mozambique,9660.274748433076,10073.418469991604,9446.279877832536,14539.812227580647,10344.670438678122,9527.34278514688,12038.37674558994,2171.7604944500767,9184.783053457242,8017.881220910449,8163.805926869868,6624.010834948018,9188.415728340924,6117.789454046571,12520.811241663127,8112.170634339325,7828.473982348721,15220.632575074174,0.0,9513.198506529352,11831.673134259217,10253.366513860134,7912.016299681696,10719.45555005488,5035.10021541134,1457.6925253528289,11508.297273028738,6449.160226989677,7627.457647366993,5218.960436793124,15202.001585724685
Norway,12857.469824954405,14033.854290713745,9876.80884501216,5192.610774014072,12818.20381126712,6711.195732159814,9329.43039466064,7561.483742153567,720.1635669986318,2085.34954632034,1494.7609639229033,6694.494542340185,11029.9269025066,4595.931176781803,7903.826402571371,3715.22114954122,9584.443827115218,9011.216399706698,9513.198506529352,0.0,10526.725570404209,9711.03334132671,3051.757678201204,3801.070077922183,4859.2786097264625,10419.12928700515,7494.699720496633,3232.7901941426608,2044.9660889613242,5445.386011930873,7021.080687796351
Peru,3281.298673181739,15254.449788964452,2434.300644217156,8058.759068637181,2782.8103558309076,16889.005254890897,1236.0558513427893,10957.462930625978,11232.974643713314,9573.578970994477,10285.464582636372,16726.914250636164,18254.85311162195,14096.982294612366,15230.049571406847,14194.580111305291,19630.082503389043,3929.0289745845707,11831.673134259217,10526.725570404209,0.0,17978.438536482437,8566.863624597345,13561.992547840573,13089.242015741287,10618.753033692941,15987.372774329271,12215.20100651321,11764.499709496664,14279.985199578323,5788.111722324294
Philippines,17422.923368959277,4352.004099060636,19508.638312597224,10693.064191492558,17463.475653338424,3043.9037693943405,17476.53461230141,11057.283570582142,9087.087518061517,11195.353145260759,10402.21618889822,4779.54070169349,1767.639099636096,7222.421950848637,3112.6064611104916,6457.770968709299,2425.20761078263,14216.124877710243,10253.366513860134,9711.03334132671,17978.438536482437,0.0,12304.237774141362,6078.145576106016,8458.488758029582,11433.469403501682,2692.4437769908495,8943.873088605633,9046.606153801466,7304.628746454492,12682.613558256584
Portugal,10117.776458569735,16190.477820420248,7228.701277023447,6727.659622405695,10246.34687198189,9272.88368914085,7573.806550054774,5740.900098559383,3454.2451380163216,1120.7411815824003,1926.5211179107105,8197.394076265213,13206.151168203212,5581.688776391948,10928.827209078749,5852.0976650729845,11409.180139716082,8740.291921037984,7912.016299681696,3051.757678201204,8566.863624597345,12304.237774141362,0.0,6785.818433787409,4916.017776258816,8321.737353360671,10427.494445803706,3678.3400744692944,3271.377132722326,6010.251234597664,7511.108715117854
Russia,16503.850678861803,10419.393812158747,13563.844594601536,5891.431955398979,16266.36364919216,3337.861212239698,12335.510140577295,9545.860330808158,3332.9265843034077,5708.569092232444,4932.23450529609,4906.844661743658,7631.68334284143,4608.1418631076995,4149.883300189401,2609.086082283968,6680.898267800811,10566.605820500676,10719.45555005488,3801.070077922183,13561.992547840573,6078.145576106016,6785.818433787409,0.0,5833.748915215828,12092.290102190365,3696.2242322994607,4894.99648677197,4132.349099134135,5502.813867155156,8313.428773922606
Saudi arabia,13107.364243533722,11389.439925152332,11058.131292580143,10030.773584623248,13607.725231982735,6018.383508433671,12318.390466496143,3743.235835751374,4351.7588082390375,4255.032193423307,3918.109685123797,3701.872919618812,8688.38351845612,1418.9402002133108,8930.291072271257,3282.50771240802,6785.617441190458,13520.018528204493,5035.10021541134,4859.2786097264625,13089.242015741287,8458.488758029582,4916.017776258816,5833.748915215828,0.0,6303.807072126284,7968.616909206565,1634.432980035436,2816.693074581088,1190.754736659901,11804.62862596787
South Africa,8236.039055896617,10452.59275576911,8322.492793628688,15035.501610445534,8924.443148927287,10967.513979111105,11003.377560562152,2861.955048612118,10205.169136913943,8670.232492493116,8973.7908878101,8074.156288931303,10165.41098767298,7485.937660113768,13917.104037717341,9485.341448366851,9025.083388080076,14305.81830816789,1457.6925253528289,10419.12928700515,10618.753033692941,11433.469403501682,8321.737353360671,12092.290102190365,6303.807072126284,0.0,12920.485404831996,7573.632409412196,8695.129848157156,6619.15405190246,14936.038499595656
South korea,18867.472373148994,6837.9310517121985,17088.90218290058,8064.06937966813,18194.173943271857,2054.273363253239,15016.871073927325,11448.007464424029,6985.528442033843,9321.245072269488,8521.287601513857,4952.485951611656,4448.774422756424,6552.755861522949,1032.1585779857135,5037.9086244088185,4399.8229637664335,12095.840355235834,11508.297273028738,7494.699720496633,15987.372774329271,2692.4437769908495,10427.494445803706,3696.2242322994607,7968.616909206565,12920.485404831996,0.0,7781.200411325413,7436.529143194164,7056.829464713058,10219.344736713447
Turkey,13115.220712164393,12513.081665933862,10565.901430873244,8419.447628107746,13454.253506577084,6097.427798755419,11252.048189680361,4781.6082557918035,2768.2815558671896,2809.9504874796808,2339.038906100658,4525.623896314908,9576.30559958242,1903.3747359644706,8612.529888836616,2743.6099430332674,7740.162360427495,11972.249375815629,6449.160226989677,3232.7901941426608,12215.20100651321,8943.873088605633,3678.3400744692944,4894.99648677197,1634.432980035436,7573.632409412196,7781.200411325413,0.0,1205.2552080391179,2447.1079507582235,10177.260243504923
Ukraine,13283.591349334103,13016.392120887185,10478.624645728785,7218.669619337631,13484.127814542207,6039.250119045203,10680.446796285198,5857.665882540324,1566.0327844498584,2199.8258019503305,1489.469201190106,5108.436320165856,9972.804940445809,2686.292409642243,8139.52002873146,2589.058771484683,8255.896896427479,10946.721767907693,7627.457647366993,2044.9660889613242,11764.499709496664,9046.606153801466,3271.377132722326,4132.349099134135,2816.693074581088,8695.129848157156,7436.529143194164,1205.2552080391179,0.0,3452.0875583591055,9044.450602041119
United Arab Emirates,14074.221613518059,10239.974319582287,12216.610226995139,10437.064462311979,14630.334568452436,5037.824916144629,13491.98626729558,4426.0380429728775,4830.1070510917225,5241.154171285727,4778.362627097864,2529.1663363127936,7498.6415345980595,959.936546029597,8059.117104093283,2902.574565838066,5596.924257103434,14392.407808461616,5218.960436793124,5445.386011930873,14279.985199578323,7304.628746454492,6010.251234597664,5502.813867155156,1190.754736659901,6619.15405190246,7056.829464713058,2447.1079507582235,3452.0875583591055,0.0,12464.028600379466
United States,9046.120020002556,14654.086230447941,7382.936360365595,2423.6096509121558,8472.51531963119,11323.518191320525,4826.3416339251,13100.147092630072,7639.451447455768,7734.861746186841,7909.231865079172,13125.122818514521,14358.629755732278,11583.50976169579,9584.571561290863,10187.598432382589,14574.593303363456,2259.4641004335626,15202.001585724685,7021.080687796351,5788.111722324294,12682.613558256584,7511.108715117854,8313.428773922606,11804.62862596787,14936.038499595656,10219.344736713447,10177.260243504923,9044.450602041119,12464.028600379466,0.0
